,codeuai,nom_etablissement,code_departement,code_commune,nom_commune,IPS,statut_public_prive,effectif,longitude,latitude
213,0592889V,Collège Charlemagne,059,59343,Lesquin,131.1,Privé,739,3.11676,50.58895
215,0595630Z,Collège Saint-Paul,059,59299,Hem,96.2,Privé,464,3.18441,50.66927
216,0594386X,Collège le parc,059,59286,Haubourdin,106.5,Public,384,2.97661,50.61484
223,0596801X,Collège Ressources Saint Jacques,059,59250,Fournes-en-Weppes,90.0,Privé,80,2.88979,50.58416
241,0595758N,Collège Dolet,059,59477,Provin,102.9,Public,475,2.8996,50.52137
422,0593228N,Collège Jean Moulin,059,59527,Saint-André-lez-Lille,114.5,Public,410,3.04855,50.65803
485,0594865T,Collège Anatole France,059,59507,Ronchin,87.6,Public,301,3.08053,50.61182
541,0595398X,Marcq Institution (Collège),059,59378,Marcq-en-Baroeul,149.2,Privé,1594,3.10681,50.68036
574,0593227M,Collège du Lazaro,059,59378,Marcq-en-Baroeul,114.9,Public,578,3.08594,50.67807
790,0592907P,Collège Saint-Michel,059,59512,Roubaix,78.8,Privé,579,3.1915,50.67861
791,0592886S,Collège Pascal,059,59512,Roubaix,79.3,Privé,463,3.17591,50.68955
831,0590131X,Collège Jean Jaurès,059,59350,Lille,86.4,Public,454,3.01019,50.64095
895,0596059R,Collège Jules Ferry,059,59286,Haubourdin,104.5,Public,711,2.99174,50.6133
939,0595713P,Collège Alphonse Daudet,059,59339,Leers,111.4,Public,493,3.24025,50.6761
940,0593125B,Collège Sacré-Coeur,059,59279,Halluin,95.2,Privé,383,3.12291,50.78203
943,0595163S,Collège Lavoisier,059,59328,Lambersart,104.5,Public,359,3.02323,50.64257
1021,0594523W,Collège Guy Mollet,059,59350,Lille,101.4,Public,370,2.99032,50.64141
1134,0590183D,Collège Sévigné,059,59512,Roubaix,62.7,Public,378,3.16492,50.69318
1207,0592946G,Collège Saint-Charles,059,59017,Armentières,97.5,Privé,258,2.883,50.68419
1251,0593246H,Collège Desrousseaux,059,59017,Armentières,83.8,Public,633,2.89093,50.68857
1570,0593660H,Collège René Descartes,059,59360,Loos,78.5,Public,298,3.00671,50.60889
1588,0593177H,Collège Jean Zay,059,59350,Lille,87.0,Public,224,2.9855,50.64775
1803,0593668S,Collège Paul Eluard,059,59508,Roncq,98.0,Public,262,3.12582,50.74976
1805,0594628K,Collège Jacques Monod,059,59457,Pérenchies,112.6,Public,429,2.97351,50.6697
1814,0593218C,Collège Lacordaire,059,59410,Mons-en-Baroeul,110.8,Privé,449,3.09587,50.64161
1815,0593233U,Collège professeur Albert Debeyre,059,59360,Loos,93.7,Public,366,3.02123,50.61198
1836,0592911U,Collège Saint-Joseph,059,59527,Saint-André-lez-Lille,105.4,Privé,353,3.05376,50.66262
1837,0592890W,Collège Saint-Joseph,059,59350,Lille,85.1,Privé,426,3.0258,50.61681
1838,0593131H,Collège Saint-Joseph,059,59350,Lille,94.2,Privé,455,3.10744,50.62937
1939,0593180L,Collège Saint-Exupéry,059,59350,Lille,101.3,Public,828,3.11821,50.62856
1940,0590271Z,Collège Verlaine,059,59350,Lille,77.8,Public,349,3.07013,50.61076
1941,0592901H,Collège Sainte-Marie,059,59457,Pérenchies,118.4,Privé,282,2.97711,50.66847
2050,0593127D,Collège La Sagesse,059,59286,Haubourdin,109.1,Privé,272,2.97569,50.61197
2068,0595286A,Centre scolaire Saint Paul (Collège),059,59350,Lille,142.9,Privé,823,3.04996,50.63367
2133,0593179K,Collège Claude Lévi-Strauss,059,59350,Lille,84.0,Public,491,3.03674,50.63147
2242,0593476H,Collège Jean Mermoz,059,59220,Faches-Thumesnil,112.8,Public,413,3.07204,50.59611
2320,0593196D,Collège Arthur Rimbaud,059,59009,Villeneuve-d'Ascq,103.7,Public,663,3.15613,50.61877
2321,0595328W,Collège Simone de Beauvoir,059,59009,Villeneuve-d'Ascq,81.3,Public,547,3.13032,50.62943
2323,0593474F,Collège professeur Albert Debeyre,059,59386,Marquette-lez-Lille,113.8,Public,551,3.06783,50.68041
2328,0595396V,Ensemble La Salle Lille - Collège Saint-Pierre,059,59350,Lille,104.5,Privé,385,3.04081,50.62863
2389,0595169Y,Collège Emile Zola,059,59650,Wattrelos,79.8,Public,297,3.23192,50.70736
2830,0590155Y,Collège Descartes,059,59410,Mons-en-Baroeul,96.7,Public,405,3.10708,50.63567
3022,0595360F,Collège Sainte-Marie,059,59056,Beaucamps-Ligny,139.5,Privé,1452,2.91875,50.60189
3035,0596846W,Collège Saint Thomas annexe du collège Sacré Coeur,059,59508,Roncq,115.5,Privé,775,3.14858,50.72281
3036,0596846W,Collège privé Sacré Coeur Saint Thomas,059,59599,Tourcoing,115.5,Privé,775,3.14858,50.72281
3081,0594527A,Collège Maxence Van Der Meersch de Mouvaux,059,59090,Bondues,99.4,Public,375,3.08256,50.72122
3203,0593226L,Collège Anne Frank,059,59328,Lambersart,123.9,Public,477,3.028,50.64851
3214,0594537L,Collège Jules Verne,059,59426,Neuville-en-Ferrain,102.9,Public,321,3.16431,50.74748
3215,0594287P,Collège Rouges Barres,059,59378,Marcq-en-Baroeul,110.2,Public,401,3.09488,50.65707
3221,0595168X,Collège Maxence Van Der Meersch,059,59512,Roubaix,63.7,Public,542,3.20722,50.68128
3450,0593134L,Collège Dominique Savio,059,59328,Lambersart,129.4,Privé,755,3.02309,50.65256
3452,0595993U,Ecole active bilingue Jeannine Manuel (collège),059,59378,Marcq-en-Baroeul,154.8,Privé,323,3.12112,50.69055
3454,0592895B,Collège Sainte-Marie,059,59352,Linselles,124.8,Privé,589,3.07784,50.73997
3461,0594397J,Collège Jean Rostand,059,59017,Armentières,77.9,Public,472,2.86682,50.6878
3462,0594833H,Collège Saint-Joseph,059,59426,Neuville-en-Ferrain,109.2,Privé,542,3.15502,50.75065
3494,0593231S,Collège Albert Schweitzer,059,59051,La Bassée,96.8,Public,843,2.81116,50.53522
3698,0593235W,Collège Boris Vian,059,59350,Lille,85.2,Public,472,3.09413,50.63058
3729,0594524X,Collège Jean Moulin,059,59648,Wattignies,75.1,Public,307,3.04595,50.59194
3765,0593241C,Collège Albert Calmette,059,59646,Wasquehal,103.6,Public,391,3.12616,50.66884
3798,0593475G,Collège Léon Blum,059,59653,Wavrin,106.1,Public,520,2.96607,50.57038
3803,0593140T,Collège Notre-Dame Immaculée,059,59599,Tourcoing,105.3,Privé,767,3.15393,50.72514
3818,0593234V,Collège Albert Ball,059,59011,Annoeullin,112.7,Public,642,2.93183,50.53341
3906,0593667R,Collège Rosa-Parks,059,59512,Roubaix,61.4,Public,605,3.18646,50.70143
3907,0594389A,Collège Anne Frank,059,59512,Roubaix,60.9,Public,536,3.1758,50.69404
3908,0594634S,Collège Théodore Monod,059,59512,Roubaix,72.2,Public,417,3.18259,50.67212
4381,0596177U,Institution Sainte-Claire (collège),059,59350,Lille,108.6,Privé,333,3.06902,50.63446
