index,INSEE_COM,NOM
"4930","59279",Halluin
"5198","59013",Anstaing
"5311","59512",Roubaix
"7799","59332",Lannoy
"7818","59017",Armentières
"7832","59602",Tressin
"7859","59247",Forest-sur-Marque
"7868","59005",Allennes-les-Marais
"7880","59507",Ronchin
"7893","59056",Beaucamps-Ligny
"7907","59643",Warneton
"7908","59195",Englos
"7948","59598",Toufflers
"7950","59508",Roncq
"7985","59585",Templemars
"7999","59410",Mons-en-Bar?ul
"8000","59523",Sainghin-en-Mélantois
"8001","59650",Wattrelos
"8002","59426",Neuville-en-Ferrain
"8003","59163",Croix
"8004","59599",Tourcoing
"8005","59421",Mouvaux
"8006","59009",Villeneuve-d'Ascq
"8007","59044",Baisieux
"8008","59051",La Bassée
"8009","59522",Sailly-lez-Lannoy
"8010","59339",Leers
"8011","59367",Lys-lez-Lannoy
"8012","59660",Willems
"8013","59299",Hem
"8014","59146",Chéreng
"8023","59477",Provin
"8026","59275",Gruson
"8035","59368",La Madeleine
"8036","59220",Faches-Thumesnil
"8037","59350",Lille
"8038","59386",Marquette-lez-Lille
"8039","59527",Saint-André-lez-Lille
"8040","59656",Wervicq-Sud
"8041","59560",Seclin
"8042","59636",Wambrechies
"8043","59256",Fretin
"8044","59106",Bouvines
"8045","59343",Lesquin
"8046","59646",Wasquehal
"8047","59090",Bondues
"8048","59346",Lezennes
"8049","59352",Linselles
"8050","59098",Bousbecque
"8051","59356",Lompret
"8052","59611",Verlinghem
"8053","59566",Sequedin
"8054","59286",Haubourdin
"8055","59457",Pérenchies
"8056","59173",Deûlémont
"8057","59278",Hallennes-lez-Haubourdin
"8058","59553",Santes
"8059","59437",Noyelles-lès-Seclin
"8060","59328",Lambersart
"8061","59648",Wattignies
"8062","59482",Quesnoy-sur-Deûle
"8063","59152",Comines
"8064","59360",Loos
"8065","59316",Houplin-Ancoisne
"8066","59193",Emmerin
"8067","59524",Sainghin-en-Weppes
"8068","59670",Don
"8069","59208",Escobecques
"8070","59487",Radinghem-en-Weppes
"8071","59143",La Chapelle-d'Armentières
"8072","59250",Fournes-en-Weppes
"8073","59658",Wicres
"8074","59088",Bois-Grenier
"8075","59128",Capinghem
"8076","59470",Prémesques
"8077","59252",Frelinghien
"8078","59653",Wavrin
"8079","59201",Erquinghem-le-Sec
"8080","59196",Ennetières-en-Weppes
"8081","59317",Houplines
"8082","59133",Carnin
"8083","59052",Bauvin
"8084","59011",Ann?ullin
"8085","59281",Hantay
"8086","59388",Marquillies
"8087","59303",Herlies
"8088","59257",Fromelles
"8089","59202",Erquinghem-Lys
"8090","59550",Salomé
"8091","59025",Aubers
"8092","59320",Illies
"8103","59458",Péronne-en-Mélantois
"8104","59609",Vendeville
"8107","59378",Marcq-en-Bar?ul
"8108","59371",Le Maisnil
