,codeuai,NOM_COLLEGE,Nom_commune,effectif,IPS,type_secteur,NB_FOYERS_COLLEGIENS,NB_COLLEGIENS,longitude,latitude,C19_POP15P,C19_POP15ACT,DIFF_LOG0ACT,DIFF_LOG1ACT,DIFF_LOG2ACT,DIFF_DIP0,DIFF_DIPBRE,DIFF_DIPCAP,DIFF_DIPBAC,DIFF_DIPMAS,DIFF_CS1,DIFF_CS2,DIFF_CS3,DIFF_CS4,DIFF_CS5,DIFF_CS6,DIFF_CS7,DIFF_CS8,DIFF_MONOPARENT,DIFF_EMPLOICDI,DIFF_LOGSOCIAL,DIFF_ACTIV_ACTIFS,DIFF_ACTIV_CHOMEURS,DIFF_ACTIV_ETUDIANT_STAGE,DIFF_ACTIV_AU_FOYER,DIFF_IMMIGRES,cat_CS1,cat_CS2,cat_CS3,cat_CS4,cat_CS5,cat_CS6,cat_CS7,cat_CS8,cat_LOG0ACT,cat_LOG1ACT,cat_LOG2ACT,cat_DIP0,cat_DIPBRE,cat_DIPCAP,cat_DIPBAC,cat_DIPMAS,cat_MONOPARENT,cat_EMPLOICDI,cat_LOGSOCIAL,cat_ACTIV_ACTIFS,cat_ACTIV_CHOMEURS,cat_ACTIV_ETUDIANT_STAGE,cat_ACTIV_AU_FOYER,cat_IMMIGRES,%_LOG0ACT,%_LOG1ACT,%_LOG2ACT,%_DIP0,%_DIPBRE,%_DIPCAP,%_DIPBAC,%_DIPMAS,%_CS1,%_CS2,%_CS3,%_CS4,%_CS5,%_CS6,%_CS7,%_CS8,%_MONOPARENT,%_EMPLOICDI,%_LOGSOCIAL,%_ACTIV_ACTIFS,%_ACTIV_CHOMEURS,%_ACTIV_ETUDIANT_STAGE,%_ACTIV_AU_FOYER,%_IMMIGRES,C19_POP15P_CS1,C19_POP15P_CS2,C19_POP15P_CS3,C19_POP15P_CS4,C19_POP15P_CS5,C19_POP15P_CS6,C19_POP15P_CS7,C19_POP15P_CS8,DIPLOM_AUCUN,DIPLOM_BREVET,DIPLOM_CAP_BAC,DIPLOM_BACPRO_BTS_LIC,DIPLOM_MASTER_DOC,ACTIF_LOG_AUCUN,ACTIF_LOG_UN,ACTIF_LOG_DEUX,MONOPARENT,EMPLOICDI,LOGSOCIAL,ACTIV_ACTIFS,ACTIV_CHOMEURS,ACTIV_ETUDIANT_STAGE,ACTIV_AU_FOYER,IMMIGRES
0,0590057S,Collège Paul Eluard,Cysoing,,,exclusif,147.0,232.0,,,1684.0,1684.0,-10.3,-13.6,25.7,-11.9,-4.7,-13.5,5.0,25.1,0.2,1.0,11.1,2.4,-5.8,-6.6,7.7,-10.1,-6.7,5.8,-22.3,13.2,-8.4,-0.3,-2.0,-8.8,moyen,moyen,A2,moyen,b1,b1,A1,b2,b2,b2,A2,b2,moyen,b2,moyen,A2,b1,A1,b2,A2,b1,moyen,moyen,b1,2.0,19.7,76.9,0.0,0.0,16.3,42.9,40.8,0.3,3.6,23.2,17.5,10.2,4.8,28.6,11.8,17.0,72.8,4.1,96.6,3.4,0.0,0.0,4.8,5.0,61.0,391.0,294.0,172.0,81.0,482.0,198.0,0.0,0.0,24.0,63.0,60.0,3.0,29.0,113.0,25.0,107.0,6.0,142.0,5.0,0.0,0.0,7.0
1,0590091D,Collège Lili Keller-Rosenberg,Halluin,526.0,87.4,exclusif,703.0,1097.0,3.12448,50.77536,16373.0,16371.0,-2.5,1.0,-0.3,1.0,1.7,6.2,-0.5,-8.4,-0.0,-0.1,-6.4,-1.5,3.2,6.3,3.2,-4.8,0.5,2.3,-1.6,3.2,-2.4,-0.2,0.3,0.3,moyen,moyen,b1,moyen,moyen,A1,moyen,moyen,moyen,moyen,moyen,moyen,moyen,A1,moyen,b1,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,9.8,34.3,50.9,12.9,6.4,36.0,37.4,7.3,0.1,2.5,5.7,13.6,19.2,17.7,24.1,17.1,24.2,69.3,24.8,86.6,9.4,0.1,2.3,13.9,20.0,407.0,932.0,2221.0,3142.0,2903.0,3946.0,2800.0,91.0,45.0,253.0,263.0,51.0,69.0,241.0,358.0,170.0,487.0,174.0,609.0,66.0,1.0,16.0,98.0
2,0590115E,Collège Franklin,Lille,467.0,103.5,exclusif,408.0,633.0,3.07041,50.62911,22949.0,22948.0,6.3,6.4,-10.5,1.1,-1.3,-9.7,-7.0,16.9,-0.1,-0.1,12.4,0.1,-4.2,-7.6,-10.3,9.6,9.4,-8.4,15.8,-7.4,1.7,1.7,1.9,17.3,moyen,moyen,A2,moyen,moyen,b1,b2,A1,A1,A1,b2,moyen,moyen,b1,b1,A2,A1,b1,A2,b1,moyen,moyen,moyen,A2,18.6,39.7,40.7,13.0,3.4,20.1,30.9,32.6,0.0,2.5,24.5,15.2,11.8,3.8,10.6,31.5,33.1,58.6,42.2,76.0,13.5,2.0,3.9,30.9,9.0,584.0,5621.0,3477.0,2707.0,877.0,2435.0,7238.0,53.0,14.0,82.0,126.0,133.0,76.0,162.0,166.0,135.0,239.0,172.0,310.0,55.0,8.0,16.0,126.0
3,0590131X,Collège Jean Jaurès,Lille,454.0,86.4,exclusif,458.0,668.0,3.01019,50.64095,13610.0,13610.0,2.8,4.5,-6.2,6.0,1.6,2.5,-2.7,-7.4,-0.1,-1.0,-3.3,0.7,4.6,2.9,0.9,-4.9,6.2,-3.0,25.3,-5.2,4.6,0.4,0.4,1.9,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,b1,A1,moyen,moyen,moyen,b1,A1,moyen,A2,b1,moyen,moyen,moyen,moyen,15.1,37.8,45.0,17.9,6.3,32.3,35.2,8.3,0.0,1.6,8.8,15.8,20.6,14.3,21.8,17.0,29.9,64.0,51.7,78.2,16.4,0.7,2.4,15.5,0.0,223.0,1204.0,2151.0,2809.0,1950.0,2965.0,2308.0,82.0,29.0,148.0,161.0,38.0,69.0,173.0,206.0,137.0,293.0,237.0,358.0,75.0,3.0,11.0,71.0
4,0590155Y,Collège Descartes,Mons-en-Baroeul,405.0,96.7,exclusif,227.0,356.0,3.10708,50.63567,6650.0,6651.0,0.5,-2.5,1.7,-0.9,0.6,2.8,-7.5,5.0,-0.1,-0.1,2.6,-1.4,-2.7,-1.3,1.6,1.3,-8.7,-2.2,-6.6,-1.9,3.6,-0.3,-1.6,12.4,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,b1,moyen,b1,moyen,b1,moyen,moyen,moyen,moyen,A2,12.8,30.8,52.9,11.0,5.3,32.6,30.4,20.7,0.0,2.5,14.7,13.7,13.3,10.1,22.5,23.2,15.0,64.8,19.8,81.5,15.4,0.0,0.4,26.0,2.0,166.0,975.0,914.0,882.0,672.0,1496.0,1544.0,25.0,12.0,74.0,69.0,47.0,29.0,70.0,120.0,34.0,147.0,45.0,185.0,35.0,0.0,1.0,59.0
5,0590183D,Collège Sévigné,Roubaix,378.0,62.7,exclusif,390.0,674.0,3.16492,50.69318,10244.0,10245.0,25.6,7.2,-31.7,21.7,2.5,2.3,-15.8,-10.3,-0.1,-0.4,-7.9,-5.0,0.7,5.5,-9.3,16.3,14.5,-27.8,13.6,-28.3,13.1,0.2,7.5,25.6,moyen,moyen,b1,moyen,moyen,A1,b1,A2,A2,A1,b2,A2,moyen,moyen,b2,b2,A2,b2,A2,b2,A2,moyen,A1,A2,37.9,40.5,19.5,33.6,7.2,32.1,22.1,5.4,0.0,2.2,4.2,10.1,16.7,16.9,11.6,38.2,38.2,39.2,40.0,55.1,24.9,0.5,9.5,39.2,3.0,224.0,431.0,1039.0,1715.0,1730.0,1186.0,3917.0,131.0,28.0,125.0,86.0,21.0,148.0,158.0,76.0,149.0,153.0,156.0,215.0,97.0,2.0,37.0,153.0
6,0590190L,Collège Jean Baptiste Lebas,Roubaix,471.0,59.9,exclusif,439.0,776.0,3.18307,50.68102,8955.0,8954.0,23.0,2.9,-25.0,10.7,4.0,8.7,-13.5,-9.8,-0.1,-0.1,-7.0,-4.7,-0.9,4.6,-4.7,12.7,7.1,-21.9,-6.4,-24.6,12.3,-0.3,5.5,16.0,moyen,moyen,b1,moyen,moyen,moyen,moyen,A2,A2,moyen,b2,A2,moyen,A1,b2,b1,A1,b2,b1,b2,A2,moyen,A1,A2,35.3,36.2,26.2,22.6,8.7,38.5,24.4,5.9,0.0,2.5,5.1,10.4,15.1,16.0,16.2,34.6,30.8,45.1,20.0,58.8,24.1,0.0,7.5,29.6,0.0,223.0,458.0,933.0,1354.0,1435.0,1453.0,3098.0,99.0,38.0,169.0,107.0,26.0,155.0,159.0,115.0,135.0,198.0,88.0,258.0,106.0,0.0,33.0,130.0
7,0590271Z,Collège Verlaine,Lille,349.0,77.8,exclusif,268.0,442.0,3.07013,50.61076,6671.0,6670.0,9.0,5.1,-13.9,7.1,1.6,0.1,-10.3,1.5,-0.1,-0.6,-3.4,2.6,-0.1,2.3,-6.0,5.2,0.2,-7.7,22.5,-8.8,9.1,-0.3,-0.9,25.6,moyen,moyen,moyen,moyen,moyen,moyen,b1,A1,A1,A1,b2,A1,moyen,moyen,b2,moyen,moyen,b1,A2,b1,A1,moyen,moyen,A2,21.3,38.4,37.3,19.0,6.3,29.9,27.6,17.2,0.0,2.0,8.7,17.7,15.9,13.7,14.9,27.1,23.9,59.3,48.9,74.6,20.9,0.0,1.1,39.2,1.0,136.0,578.0,1182.0,1062.0,913.0,992.0,1806.0,51.0,17.0,80.0,74.0,46.0,57.0,103.0,100.0,64.0,159.0,131.0,200.0,56.0,0.0,3.0,105.0
8,0592714E,Collège Mendès France,Tourcoing,383.0,68.1,exclusif,662.0,1077.0,3.18949,50.73604,19233.0,19232.0,10.8,5.7,-15.7,9.2,1.6,11.0,-10.4,-11.5,-0.1,-0.8,-9.1,-5.3,1.8,9.6,-0.6,4.4,6.1,-11.6,14.5,-11.0,7.1,0.2,2.2,11.0,moyen,moyen,b1,b1,moyen,A1,moyen,moyen,A2,A1,b2,A1,moyen,A2,b2,b2,A1,b2,A2,b2,A1,moyen,moyen,A2,23.1,39.0,35.5,21.1,6.3,40.8,27.5,4.2,0.0,1.8,3.0,9.8,17.8,21.0,20.3,26.3,29.8,55.4,40.9,72.4,18.9,0.5,4.2,24.6,3.0,353.0,579.0,1879.0,3422.0,4031.0,3902.0,5063.0,140.0,42.0,270.0,182.0,28.0,153.0,258.0,235.0,197.0,367.0,271.0,479.0,125.0,3.0,28.0,163.0
9,0592830F,Collège Jean Zay,Faches-Thumesnil,349.0,87.6,exclusif,279.0,442.0,3.0636,50.60722,6775.0,6776.0,3.1,0.4,-3.2,-1.1,-0.4,5.7,1.2,-4.9,-0.1,0.0,-1.6,2.7,0.8,-0.4,1.0,-2.3,1.4,-1.1,0.8,-2.8,3.3,-0.3,0.2,12.9,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,A1,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,moyen,A2,15.4,33.7,48.0,10.8,4.3,35.5,39.1,10.8,0.0,2.6,10.5,17.8,16.8,11.0,21.9,19.6,25.1,65.9,27.2,80.6,15.1,0.0,2.2,26.5,0.0,173.0,709.0,1203.0,1138.0,743.0,1485.0,1325.0,30.0,12.0,99.0,109.0,30.0,43.0,94.0,134.0,70.0,184.0,76.0,225.0,42.0,0.0,6.0,74.0
